Client,Product Code,Description,May-17,Apr-17,Mar-17,Feb-17,Jan-17,Dec-16,Nov-16,Oct-16,Sep-16,Aug-16,Jul-16,Jun-16,Total Out,Avg/Wk,Current SOH,Weeks Cover
P2C,BASIC-BLA-S,"Tall Tee - Black Size S (Each)",24,7,12,20,38,40,3,0,0,0,31,9,184,3.5,77,21.8
P2C,BASIC-BLA-XL,"Tall Tee - Black Size XL (Each)",242,169,183,56,194,299,45,54,65,81,80,74,1542,29.7,243,8.2
P2C,BASIC-BLA-XXL,"Tall Tee - Black Size XXL (Each)",139,50,90,53,70,211,37,20,31,59,82,56,898,17.3,359,20.8
P2C,BASIC-BLA-XXXL,"Tall Tee - Black Size XXXL (Each)",165,48,37,0,14,123,0,0,0,0,20,21,428,8.2,19,2.3
P2C,BASIC-DGRA-L,"Tall Tee - Dark Grey Size L (Each)",207,38,150,97,102,217,32,23,25,46,39,28,1004,19.3,17,0.9
P2C,BASIC-DGRA-M,"Tall Tee - Dark Grey Size M (Each)",108,14,96,50,61,141,32,35,24,31,21,29,642,12.3,41,3.3
P2C,BASIC-DGRA-S,"Tall Tee - Dark Grey Size S (Each)",0,0,0,2,21,36,8,6,4,9,5,4,95,1.8,0,0
P2C,BASIC-DGRA-XL,"Tall Tee - Dark Grey Size XL (Each)",104,38,105,49,64,141,17,39,25,38,23,20,663,12.8,23,1.8
P2C,BASIC-DGRA-XXL,"Tall Tee - Dark Grey Size XXL (Each)",79,16,97,49,3,76,10,0,15,28,22,21,416,8.0,23,2.9
P2C,BASIC-DGRA-XXXL,"Tall Tee - Dark Grey Size XXXL (Each)",39,22,19,0,0,41,0,0,0,0,4,5,130,2.5,0,0
P2C,BASIC-GRE-L,"Tall Tee - Grey Size L (Each)",191,198,194,89,145,248,22,9,7,70,59,20,1252,24.1,21,0.9
P2C,BASIC-GRE-M,"Tall Tee - Grey Size M (Each)",113,85,112,72,95,158,62,29,25,44,42,19,856,16.5,111,6.7
P2C,BASIC-GRE-S,"Tall Tee - Grey Size S (Each)",18,14,5,24,27,36,14,5,5,11,1,3,163,3.1,20,6.4
P2C,BASIC-GRE-XL,"Tall Tee - Grey Size XL (Each)",95,105,120,57,117,170,32,40,18,42,21,20,837,16.1,52,3.2
P2C,BASIC-GRE-XXL,"Tall Tee - Grey Size XXL (Each)",48,34,81,40,5,77,32,23,23,25,6,16,410,7.9,83,10.5
P2C,BASIC-GRE-XXXL,"Tall Tee - Grey Size XXXL (Each)",50,50,66,0,1,40,0,0,4,14,14,7,246,4.7,176,37.2
P2C,BASIC-MAR-L,"Tall Tee - Maroon Size L (Each)",1,82,145,19,65,138,0,0,1,24,31,26,532,10.2,1,0.1
P2C,BASIC-MAR-M,"Tall Tee - Maroon Size M (Each)",0,30,79,47,51,72,1,3,32,44,17,12,388,7.5,3,0.4
P2C,BASIC-MAR-S,"Tall Tee - Maroon Size S (Each)",0,0,0,0,0,26,18,4,8,7,3,4,70,1.3,0,0
P2C,BASIC-MAR-XL,"Tall Tee - Maroon Size XL (Each)",1,54,45,42,42,80,0,0,2,8,19,12,305,5.9,0,0
P2C,BASIC-MAR-XXL,"Tall Tee - Maroon Size XXL (Each)",1,27,79,38,13,67,0,1,0,10,15,17,268,5.2,1,0.2
P2C,BASIC-MAR-XXXL,"Tall Tee - Maroon Size XXXL (Each)",0,30,19,0,0,40,0,0,0,0,4,6,99,1.9,0,0
P2C,BASIC-NVY-L,"Tall Tee - Navy Blue Size L (Each)",164,133,84,76,133,148,0,0,0,40,15,13,806,15.5,80,5.2
P2C,BASIC-NVY-M,"Tall Tee - Navy Blue Size M (Each)",78,49,81,63,59,53,0,0,0,6,3,11,403,7.8,154,19.9
P2C,BASIC-NVY-S,"Tall Tee - Navy Blue Size S (Each)",5,10,1,0,0,0,0,0,0,0,0,0,16,0.3,0,0
P2C,BASIC-NVY-XL,"Tall Tee - Navy Blue Size XL (Each)",73,86,93,70,81,86,0,0,0,0,0,0,489,9.4,0,0
P2C,BASIC-NVY-XXL,"Tall Tee - Navy Blue Size XXL (Each)",62,10,49,2,21,70,0,0,0,0,0,0,214,4.1,25,6.1
P2C,BASIC-NVY-XXXL,"Tall Tee - Navy Blue Size XXXL (Each)",44,10,0,0,0,40,0,0,0,0,0,0,94,1.8,0,0
P2C,BASIC-PIN-L,"Tall Tee - Pink Size L (Each)",0,0,0,16,15,0,0,0,0,0,0,0,31,0.6,0,0
P2C,BASIC-PIN-M,"Tall Tee - Pink Size M (Each)",0,0,0,18,14,0,0,0,0,0,0,0,32,0.6,0,0
P2C,BASIC-PIN-XL,"Tall Tee - Pink Size XL (Each)",0,0,0,9,10,0,0,0,0,0,0,0,19,0.4,0,0
P2C,BASIC-PIN-XXL,"Tall Tee - Pink Size XXL (Each)",0,0,0,0,9,0,0,0,0,0,0,0,9,0.2,0,0
P2C,BASIC-PINK-L,"Tall Tee - Pink Size L (Each)",47,3,0,0,0,0,0,0,0,0,0,0,50,1.0,0,0
P2C,BASIC-PINK-M,"Tall Tee - Pink Size M (Each)",26,0,0,0,0,0,0,0,0,0,0,0,26,0.5,24,48.0
P2C,BASIC-PINK-XL,"Tall Tee - Pink Size XL (Each)",25,0,0,0,0,0,0,0,0,0,0,0,25,0.5,26,54.1
P2C,BASIC-PINK-XXL,"Tall Tee - Pink Size XXL (Each)",22,0,0,0,0,0,0,0,0,0,0,0,22,0.4,27,63.8
P2C,BASIC-STO-L,"Tall Tee - Stone Size L (Each)",141,40,85,0,4,80,0,0,0,0,0,0,350,6.7,90,13.4
P2C,BASIC-STO-M,"Tall Tee - Stone Size M (Each)",88,21,71,0,0,40,0,0,0,0,0,0,220,4.2,57,13.5
P2C,BASIC-STO-S,"Tall Tee - Stone Size S (Each)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P2C,BASIC-STO-XL,"Tall Tee - Stone Size XL (Each)",82,7,81,0,1,41,0,0,0,0,0,0,212,4.1,66,16.2
P2C,BASIC-STO-XXL,"Tall Tee - Stone Size XXL (Each)",51,1,48,1,0,40,0,0,0,0,0,0,141,2.7,40,14.8
P2C,BASIC-STO-XXXL,"Tall Tee - Stone Size XXxL (Each)",0,1,42,0,0,0,0,0,0,0,0,0,43,0.8,0,0
P2C,BASIC-TAN-L,"Tall Tee - Tan Size L (Each)",185,54,100,0,0,0,0,0,0,0,0,0,339,6.5,91,14.0
P2C,BASIC-TAN-M,"Tall Tee - Tan Size M (Each)",120,60,46,0,0,0,0,0,0,0,0,0,226,4.3,28,6.4
P2C,BASIC-TAN-S,"Tall Tee - Tan Size S (Each)",1,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0,0
P2C,BASIC-TAN-XL,"Tall Tee - Tan Size XL (Each)",98,55,58,0,0,0,0,0,0,0,0,3,214,4.1,37,9.0
P2C,BASIC-TAN-XXL,"Tall Tee - Tan Size XXL (Each)",11,37,47,0,0,0,0,0,0,0,0,0,95,1.8,0,0
P2C,BASIC-TAN-XXXL,"Tall Tee - Tan Size XXXL (Each)",1,18,24,0,0,0,0,0,0,0,0,0,43,0.8,0,0
P2C,BASIC-WHI-L,"Tall Tee - White Size L (Each)",293,233,255,170,233,392,60,47,49,41,91,72,1936,37.2,107,2.9
P2C,BASIC-WHI-M,"Tall Tee - White Size M (Each)",186,119,186,107,142,234,49,47,5,89,67,60,1291,24.8,537,21.6
P2C,BASIC-WHI-S,"Tall Tee - White Size S (Each)",0,0,0,20,44,44,4,0,0,4,24,13,153,2.9,0,0
P2C,BASIC-WHI-XL,"Tall Tee - White Size XL (Each)",166,131,147,87,143,223,44,11,42,65,52,55,1166,22.4,58,2.6
P2C,BASIC-WHI-XS,"Tall Tee - White Size XS (Each)",1,0,0,0,0,0,0,0,0,0,0,0,1,0.0,53,"2,756.0"
P2C,BASIC-WHI-XXL,"Tall Tee - White Size XXL (Each)",75,49,83,52,16,79,20,20,27,44,28,34,527,10.1,336,33.2
P2C,BASIC-WHI-XXXL,"Tall Tee - White Size XXXL (Each)",50,12,45,0,9,15,0,0,0,0,2,9,142,2.7,0,0
P2C,BBQ-BLA-L,"BBQ print - Black Size L (EACH)",20,7,3,1,3,25,22,0,0,0,0,0,81,1.6,2,1.3
P2C,BBQ-BLA-M,"BBQ print - Black Size M (EACH)",2,1,2,1,3,17,12,0,0,0,0,0,38,0.7,15,20.5
P2C,BBQ-BLA-XL,"BBQ print - Black Size XL (EACH)",3,9,3,4,6,12,14,0,0,0,0,0,51,1.0,0,0
P2C,BBQ-BLA-XXL,"BBQ print - Black Size XXL (EACH)",0,0,3,1,4,3,11,0,0,0,0,0,22,0.4,0,0
P2C,BBQ-MUS-L,"BBQ print - Muscle Tee Size L (EACH)",0,7,19,9,4,2,0,0,0,0,0,0,41,0.8,0,0
P2C,BBQ-MUS-M,"BBQ print - Muscle Tee Size M (EACH)",0,0,3,9,10,5,0,0,0,0,0,0,27,0.5,0,0
P2C,BBQ-MUS-XL,"BBQ print - Muscle Tee Size XL (EACH)",0,0,10,5,6,2,0,0,0,0,0,0,23,0.4,0,0
P2C,BBQ-MUS-XXL,"BBQ print - Muscle Tee Size XXL (EACH)",0,0,1,1,8,0,0,0,0,0,0,0,10,0.2,0,0
P2C,BEANIE-AG-PATCH,"Army Green Beanie (EACH)",16,0,0,0,0,0,0,0,0,0,0,0,16,0.3,90,292.5
P2C,BEANIE-BLA-PATCH,"Black Beanie (EACH)",20,0,0,0,0,0,0,0,0,0,0,0,20,0.4,231,600.6
P2C,BEANIE-GRA-PATCH,"Grey Beanie (EACH)",10,0,0,0,0,0,0,1,10,69,21,0,111,2.1,244,114.3
P2C,BWR+2-TEE-L,"BWR+2-TEE-L  (EACH)",0,0,0,7,1,1,3,3,5,2,2,4,28,0.5,0,0
P2C,BWR+2-TEE-M,"BWR+2-TEE-M  (EACH)",0,3,0,6,0,2,0,0,3,0,2,4,20,0.4,4,10.4
P2C,BWR+2-TEE-S,"BWR+2-TEE-S  (EACH)",0,0,0,1,0,0,0,1,2,0,0,1,5,0.1,0,0
P2C,BWR+2-TEE-XL,"BWR+2-TEE-XL  (EACH)",0,0,0,0,2,6,2,0,3,0,4,3,20,0.4,0,0
P2C,BWR+2-TEE-XXL,"BWR+2-TEE-XXL  (EACH)",0,0,0,0,2,5,0,0,6,1,1,0,15,0.3,0,0
P2C,CASA-BLA-L,"Casa Martini - Black Size L (Each)",6,2,4,3,5,0,0,0,0,0,0,0,20,0.4,20,52.0
P2C,CASA-BLA-M,"Casa Martini - Black Size M (Each)",1,2,5,0,1,2,0,0,0,0,0,0,11,0.2,14,66.2
P2C,CASA-BLA-XL,"Casa Martini - Black Size XL (Each)",10,2,5,4,2,0,0,0,0,0,0,0,23,0.4,5,11.3
P2C,CASA-BLA-XXL,"Casa Martini - Black Size XXL (Each)",5,2,3,7,0,0,0,0,0,0,0,0,17,0.3,3,9.2
P2C,CASA-WHI-L,"Casa Martini - White Size L (Each)",5,4,2,1,4,1,0,0,0,0,0,0,17,0.3,30,91.8
P2C,CASA-WHI-M,"Casa Martini - White Size M (Each)",0,3,3,1,3,2,0,0,0,0,0,0,12,0.2,20,86.7
P2C,CASA-WHI-XL,"Casa Martini - White Size XL (Each)",1,1,6,0,5,0,0,0,0,0,0,0,13,0.3,3,12.0
P2C,CREW-BLA-L,"Crew Neck Black L (EACH)",8,7,5,1,8,2,3,0,3,1,2,3,43,0.8,7,8.5
P2C,CREW-BLA-M,"Crew Neck Black Size M (EACH)",4,5,6,1,3,1,0,1,0,1,2,3,27,0.5,10,19.3
P2C,CREW-BLA-S,"Crew Neck Black Size S (EACH)",0,0,0,0,0,1,0,2,0,1,1,1,6,0.1,0,0
P2C,CREW-BLA-XL,"Crew Neck Black XL (EACH)",9,7,1,1,8,5,0,1,0,2,2,1,37,0.7,2,2.8
P2C,CREW-BLA-XXL,"Crew Neck Black XXL (EACH)",0,0,0,0,1,8,1,0,4,1,0,1,16,0.3,0,0
P2C,CREW-GRE-L,"Crew Neck Grey L (EACH)",4,7,5,1,5,6,2,1,3,12,1,4,51,1.0,0,0
P2C,CREW-GRE-M,"Crew Neck Grey M (EACH)",8,3,12,1,0,1,3,3,1,3,3,2,40,0.8,0,0
P2C,CREW-GRE-S,"Crew Neck Grey S (EACH)",0,0,0,0,0,0,0,0,1,2,2,1,6,0.1,0,0
P2C,CREW-GRE-XL,"Crew Neck Grey XL (EACH)",1,6,6,0,2,4,1,4,3,6,6,2,41,0.8,0,0
P2C,CREW-GRE-XXL,"Crew Neck Grey XXL (EACH)",0,0,5,3,1,2,0,3,0,1,1,1,17,0.3,0,0
P2C,CUBE-BLA-L,"Green Cube Tee L (EACH)",1,1,2,0,3,6,3,0,0,0,0,0,16,0.3,3,9.8
P2C,CUBE-BLA-M,"Green Cube Tee M (EACH)",2,1,1,1,0,0,5,0,0,0,0,0,10,0.2,6,31.2
P2C,CUBE-BLA-XL,"Green Cube Tee Xl (EACH)",1,5,2,1,1,3,0,0,0,0,0,0,13,0.3,2,8.0
P2C,CUBE-BLA-XXL,"Green Cube Tee Xxl (EACH)",1,1,1,1,1,3,2,0,0,0,0,0,10,0.2,0,0
P2C,GLOOSE-B-L,"Getloose Tee - Black Size L (EACH)",31,14,7,5,8,13,0,0,0,0,0,5,83,1.6,0,0
P2C,GLOOSE-B-M,"Getloose Tee - Black Size M (EACH)",16,8,1,1,1,11,0,0,0,0,0,6,44,0.8,3,3.5
P2C,GLOOSE-B-S,"Getloose Tee - Black Size S (EACH)",0,0,0,0,0,0,1,1,2,2,0,0,6,0.1,0,0
P2C,GLOOSE-B-XL,"Getloose Tee - Black Size XL (EACH)",1,17,7,4,5,8,0,0,0,0,1,4,47,0.9,0,0
P2C,GLOOSE-B-XXL,"Getloose Tee - Black Size XXL (EACH)",3,1,4,9,3,6,0,0,0,0,0,0,26,0.5,15,30.0
P2C,GREEN-JER-M,"New Green Jersey Tee -  Size M (EACH)",0,0,7,6,5,0,0,0,1,1,4,2,26,0.5,0,0
P2C,HOOD-AB-DGRA-XL,"Hoodie - Charcoal Armband Xl (EACH)",13,0,0,0,0,0,0,0,0,0,0,0,13,0.3,13,52.0
P2C,HOOD-AB-DGRA-XXL,"Hoodie - Charcoal Armband Xxl (EACH)",12,0,0,0,0,0,0,0,0,0,0,0,12,0.2,3,13.0
P2C,HOOD-PR-BLA-XXL,"Hoodie - Black Printed Size Xxl (EACH)",2,0,0,0,0,0,0,0,0,0,0,0,2,0.0,16,416.0
P2C,HOODBLACK,"Hooded Poncho - Black (EACH)",3,6,2,1,3,0,5,3,1,3,1,0,28,0.5,2,3.7
P2C,HOODBLUE,"Hooded Poncho - Blue (EACH)",4,10,7,3,2,3,5,4,4,4,4,1,51,1.0,4,4.1
P2C,HOODIE-AB-DGRA-L,"Hoodie - Charcoal Armband L (EACH)",24,0,0,0,0,0,0,0,0,0,0,0,24,0.5,13,28.2
P2C,HOODIE-AB-DGRA-M,"Hoodie - Charcoal Armband M (EACH)",18,0,0,0,0,0,0,0,0,0,0,0,18,0.3,14,40.4
P2C,HOODIE-AG-L,"Hoodie - Army Green Size L (EACH)",20,0,0,0,0,0,0,0,0,0,0,0,20,0.4,10,26.0
P2C,HOODIE-AG-M,"Hoodie - Army Green Size M (EACH)",13,0,0,0,0,0,0,0,0,0,0,0,13,0.3,15,60.0
P2C,HOODIE-AG-XL,"Hoodie - Army Green Size Xl (EACH)",7,0,0,0,0,0,0,0,0,0,0,0,7,0.1,18,133.7
P2C,HOODIE-AG-XXL,"Hoodie - Army Green Size Xxl (EACH)",7,0,0,0,0,0,0,0,0,0,0,0,7,0.1,6,44.6
P2C,HOODIE-BLA-L,"Original Hoodie - Black Size L (Each)",5,28,13,6,3,7,3,5,5,16,22,10,123,2.4,1,0.4
P2C,HOODIE-BLA-M,"Original Hoodie - Black Size M (Each)",1,7,10,1,5,9,3,5,5,17,25,8,96,1.8,0,0
P2C,HOODIE-BLA-S,"Original Hoodie - Black Size S (Each)",0,0,0,0,0,0,0,0,1,5,12,2,20,0.4,0,0
P2C,HOODIE-BLA-XL,"Original Hoodie - Black Size XL (Each)",16,10,10,5,4,7,3,3,7,12,16,8,101,1.9,18,9.3
P2C,HOODIE-BLA-XXL,"Original Hoodie - Black Size XXL (Each)",0,0,0,2,4,8,3,2,5,11,14,8,57,1.1,1,0.9
P2C,HOODIE-F-BLA-L,"Hoodie - Black On Black Size L (EACH)",14,0,0,0,0,0,0,0,1,0,16,11,42,0.8,66,81.7
P2C,HOODIE-F-BLA-M,"Hoodie - Black On Black Size M (EACH)",11,0,0,0,0,0,0,0,0,5,17,9,42,0.8,46,57.0
P2C,HOODIE-F-BLA-S,"Hoodie - Black On Black Size S (EACH)",5,0,0,0,0,0,0,0,0,0,0,0,5,0.1,15,156.0
P2C,HOODIE-F-BLA-XL,"Hoodie - Black On Black Size XL (EACH)",13,0,0,0,0,0,1,0,0,0,12,11,37,0.7,39,54.8
P2C,HOODIE-F-BLA-XXL,"Hoodie - Black On Black Size XXL (EACH)",16,0,0,0,0,0,0,0,0,0,8,8,32,0.6,62,100.8
P2C,HOODIE-GRE-L,"Hoodie - Grey Size L (EACH)",10,15,10,1,2,4,2,1,7,10,18,14,94,1.8,59,32.6
P2C,HOODIE-GRE-M,"Hoodie - Grey Size M (EACH)",1,12,10,3,1,4,1,2,4,11,15,14,78,1.5,47,31.3
P2C,HOODIE-GRE-S,"Hoodie - Grey Size S (EACH)",0,0,1,1,0,0,0,1,0,6,5,3,17,0.3,0,0
P2C,HOODIE-GRE-XL,"Hoodie - Grey Size XL (EACH)",4,11,5,0,2,1,2,0,3,9,12,5,54,1.0,80,77.0
P2C,HOODIE-GRE-XXL,"Hoodie - Grey Size XXL (EACH)",3,12,3,1,3,4,0,3,2,8,9,3,51,1.0,27,27.5
P2C,HOODIE-GRE-XXXL,"Hoodie - Grey Size XXXL (EACH)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P2C,HOODIE-MAR-L,"Original Hoodie - Maroon Size L (Each)",19,0,0,0,0,0,0,0,0,1,12,19,51,1.0,39,39.8
P2C,HOODIE-MAR-M,"Original Hoodie - Maroon Size M (Each)",17,0,0,0,0,0,0,0,0,1,19,14,51,1.0,40,40.8
P2C,HOODIE-MAR-S,"Original Hoodie - Maroon Size S (Each)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P2C,HOODIE-MAR-XL,"Original Hoodie - Maroon Size XL (Each)",8,0,0,0,0,0,0,0,0,8,17,4,37,0.7,43,60.4
P2C,HOODIE-MAR-XXL,"Original Hoodie - Maroon Size XXL (Each)",12,0,0,0,0,0,0,0,0,1,5,11,29,0.6,17,30.5
P2C,HOODIE-ORNG-L,"Hoodie - Orange L (EACH)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,
P2C,HOODIE-ORNG-M,"Hoodie - Orange M (EACH)",1,0,0,0,0,0,0,0,0,0,0,0,1,0.0,28,"1,456.0"
P2C,HOODIE-ORNG-XL,"Hoodie - Orange Xl (EACH)",1,0,0,0,0,0,0,0,0,0,0,0,1,0.0,24,"1,248.0"
P2C,HOODIE-ORNG-XXL,"Hoodie - Orange Xxl (EACH)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,
P2C,HOODIE-PR-BLA-L,"Hoodie - Black Printed Size L (EACH)",13,0,0,0,0,0,0,0,0,0,0,0,13,0.3,50,200.0
P2C,HOODIE-PR-BLA-M,"Hoodie - Black Printed Size M (EACH)",12,0,0,0,0,0,0,0,0,0,0,0,12,0.2,36,156.0
P2C,HOODIE-PR-BLA-XL,"Hoodie - Black Printed Size Xl (EACH)",11,0,0,0,0,0,0,0,0,0,0,0,11,0.2,8,37.8
P2C,HOODIE-TAN-L,"Hoodie - Tan Size L (EACH)",26,0,0,0,0,0,0,0,0,0,0,0,26,0.5,0,0
P2C,HOODIE-TAN-M,"Hoodie - Tan Size M (EACH)",29,0,0,0,0,0,0,0,0,0,0,0,29,0.6,0,0
P2C,HOODIE-TAN-XL,"Hoodie - Tan Size Xl (EACH)",13,0,0,0,0,0,0,0,0,0,0,0,13,0.3,9,36.0
P2C,HOODIE-TAN-XXL,"Hoodie - Tan Size Xxl (EACH)",8,0,0,0,0,0,0,0,0,0,0,0,8,0.2,7,45.5
P2C,HOODIE-ZIP-L,"Zip Up Original Hoodie - Black Size L (Each)",0,0,4,1,2,3,4,4,2,5,2,2,29,0.6,0,0
P2C,HOODIE-ZIP-M,"Zip Up Original Hoodie - Black Size M (Each)",0,8,6,1,1,1,4,2,0,5,1,3,32,0.6,0,0
P2C,HOODIE-ZIP-S,"Zip Up Original Hoodie - Black Size S (Each)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P2C,HOODIE-ZIP-XL,"Zip Up Original Hoodie - Black Size XL (Each)",0,4,3,3,1,2,0,2,1,1,2,5,24,0.5,0,0
P2C,HOODIE-ZIP-XXL,"Zip Up Original Hoodie - Black Size XXL (Each)",0,0,0,0,2,4,0,0,3,4,3,1,17,0.3,0,0
P2C,HOODPREM,"Premium Hooded Poncho (EACH)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P2C,HOODRAND,"Hooded Poncho - Random (EACH)",2,0,0,3,3,1,3,0,0,0,0,1,13,0.3,3,12.0
P2C,HOODRED,"Hooded Poncho - Red (EACH)",5,13,2,2,2,7,8,3,5,6,2,9,64,1.2,6,4.9
P2C,HOODTANK-WHI-XXL,"Sleeveless Droptail Hoodie - White Size XXL (Each)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P2C,JOX-BLA-L,"Underwear-Black-L (EACH)",2,0,0,0,0,0,0,0,0,0,0,0,2,0.0,120,"3,120.0"
P2C,JOX-BLA-M,"Underwear-Black-M (EACH)",2,0,0,0,0,0,0,0,0,0,0,0,2,0.0,86,"2,236.0"
P2C,JOX-BLA-XL,"Underwear-Black-Xl (EACH)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,
P2C,JOX-GRE-L,"Underwear-Grey-L (EACH)",2,0,0,0,0,0,0,0,0,0,0,0,2,0.0,66,"1,716.0"
P2C,JOX-GRE-M,"Underwear-Grey-M (EACH)",4,0,0,0,0,0,0,0,0,0,0,0,4,0.1,58,754.0
P2C,JOX-GRE-XL,"Underwear-Grey-Xl (EACH)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,
P2C,LATE-NOTE,"$20 Voucher (Each)",42,23,98,159,0,0,0,0,0,0,0,0,322,6.2,427,69.0
P2C,LAY-AG-L,"Layered Tees - Without print - Army Green L (EACH)",9,1,0,0,0,0,0,0,0,0,0,0,10,0.2,0,0
P2C,LAY-AG-M,"Layered Tees - Without print - Army Green M (EACH)",2,0,0,0,0,0,0,0,0,0,0,0,2,0.0,0,0
P2C,LAY-AG-XL,"Layered Tees - Without print - Army Green XL (EACH)",1,1,0,0,0,0,0,0,0,0,0,0,2,0.0,0,0
P2C,LAY-BLA-L,"Layered Tees - Without print - Black L (EACH)",17,4,1,0,0,0,0,0,0,0,0,0,22,0.4,0,0
P2C,LAY-BLA-M,"Layered Tees - Without print - Black M (EACH)",9,3,0,0,0,0,0,0,0,0,0,0,12,0.2,0,0
P2C,LAY-BLA-XL,"Layered Tees - Without print - Black XL (EACH)",0,2,1,0,0,0,0,0,0,0,0,0,3,0.1,0,0
P2C,LAY-BLA-XXL,"Layered Tees - Without print - Black XXL (EACH)",4,1,0,0,0,0,0,0,0,0,0,0,5,0.1,0,0
P2C,LAY-DGRA-L,"Layered Tees - Without print - Charrcoal L (EACH)",10,3,0,0,0,0,0,0,0,0,0,0,13,0.3,0,0
P2C,LAY-DGRA-M,"Layered Tees - Without print - Charrcoal M (EACH)",6,3,0,0,0,0,0,0,0,0,0,0,9,0.2,0,0
P2C,LAY-DGRA-XL,"Layered Tees - Without print - Charrcoal XL (EACH)",10,2,1,0,0,0,0,0,0,0,0,0,13,0.3,0,0
P2C,LAY-DGRA-XXL,"Layered Tees - Without print - Charrcoal XXL (EACH)",3,1,0,0,0,0,0,0,0,0,0,0,4,0.1,0,0
P2C,LEATH-P-L,"Leather Patch Tee -  Size L (EACH)",0,0,7,0,4,4,3,1,6,1,2,2,30,0.6,0,0
P2C,LEATH-P-M,"Leather Patch Tee -  Size M (EACH)",2,3,2,1,0,2,3,4,3,1,1,6,28,0.5,0,0
P2C,LEATH-P-S,"Leather Patch Tee -  Size S (EACH)",0,0,0,0,1,0,0,1,1,1,0,1,5,0.1,0,0
P2C,LEATH-P-XL,"Leather Patch Tee -  Size XL (EACH)",0,0,7,1,1,2,2,1,5,2,4,1,26,0.5,0,0
P2C,LONG-BLA-L,"Long Black Tee -  Size L (EACH)",0,0,0,0,0,1,8,8,7,7,6,7,44,0.8,0,0
